"account_id","customer_id","branch_id","account_type","opening_date","current_balance","status"
1,618,2,"Savings","2022-05-16","-34628.61","Active"
2,507,34,"Credit","2021-11-28","-40506.03","Active"
3,937,19,"Credit","2022-02-03","-30260.34","Active"
4,667,34,"Investment","2021-08-09","-21405.75","Active"
5,652,30,"Investment","2020-10-11","-22739.05","Active"
6,807,45,"Investment","2020-03-04","-19665.46","Active"
7,503,24,"Checking","2022-12-17","-12456.74","Active"
8,915,43,"Credit","2021-12-08","-42080.41","Active"
9,459,48,"Investment","2022-11-22","-31678.08","Active"
10,237,41,"Credit","2021-07-11","-27785.79","Active"
11,953,42,"Investment","2022-02-25","-56525.76","Active"
12,491,37,"Checking","2020-02-14","-22252.55","Active"
13,799,2,"Investment","2021-12-23","-32959.35","Active"
14,609,32,"Investment","2021-07-17","-53714.72","Active"
15,394,18,"Credit","2020-01-18","-59193.19","Active"
16,315,14,"Credit","2020-06-01","-38983.39","Active"
17,212,44,"Investment","2020-06-14","-22682.90","Active"
18,301,45,"Investment","2021-05-28","-27882.88","Active"
19,889,13,"Savings","2021-08-08","-19483.71","Active"
20,245,5,"Savings","2022-04-12","-13032.50","Active"
21,366,18,"Checking","2022-10-24","-27446.63","Active"
22,659,25,"Investment","2021-01-19","-50415.16","Active"
23,584,41,"Credit","2021-11-28","-16880.51","Active"
24,554,8,"Checking","2021-05-14","-27189.02","Active"
25,152,32,"Investment","2020-06-06","-39815.63","Active"
26,322,4,"Savings","2022-08-11","9036.01","Active"
27,611,42,"Checking","2022-08-12","-25993.75","Active"
28,84,21,"Savings","2021-09-25","-23029.30","Active"
29,463,43,"Credit","2022-01-30","-41849.98","Active"
30,364,36,"Credit","2021-03-24","-39286.66","Active"
31,180,49,"Credit","2020-04-02","-46310.61","Active"
32,481,16,"Savings","2021-01-31","-28172.89","Active"
33,11,43,"Credit","2020-09-05","-19964.90","Active"
34,721,50,"Checking","2021-03-17","-11173.83","Active"
35,705,27,"Checking","2022-11-27","-17009.73","Active"
36,156,31,"Checking","2021-04-18","-36676.72","Active"
37,584,19,"Checking","2022-04-19","-38445.86","Active"
38,126,42,"Savings","2022-05-11","-29697.09","Active"
39,499,11,"Savings","2022-04-26","-26565.87","Active"
40,964,4,"Investment","2022-04-29","-23216.01","Active"
41,101,9,"Savings","2022-09-24","-42925.86","Active"
42,715,33,"Credit","2021-09-25","-23186.92","Active"
43,436,9,"Credit","2021-02-01","-28712.42","Active"
44,918,13,"Checking","2022-08-23","-34255.86","Active"
45,509,21,"Checking","2022-01-08","-34706.45","Active"
46,219,32,"Investment","2022-12-12","-43714.01","Active"
47,322,6,"Investment","2020-02-20","-31894.44","Active"
48,335,34,"Checking","2021-10-03","-44378.35","Active"
49,547,37,"Savings","2021-05-04","-12083.61","Active"
50,374,2,"Credit","2022-06-09","-18064.64","Active"
51,983,24,"Checking","2021-12-22","-45225.12","Active"
52,336,12,"Investment","2021-08-10","-41098.26","Active"
53,738,19,"Investment","2021-08-22","18074.65","Active"
54,43,10,"Checking","2020-11-27","-56633.36","Active"
55,284,17,"Investment","2022-08-17","-8521.55","Active"
56,379,18,"Investment","2020-08-12","-32848.52","Active"
57,178,30,"Credit","2022-06-21","-33556.74","Active"
58,267,6,"Checking","2021-05-09","-23512.46","Active"
59,898,46,"Credit","2022-11-13","-34291.96","Active"
60,213,34,"Savings","2020-09-20","-34951.27","Active"
61,308,22,"Checking","2020-01-26","-51463.32","Active"
62,636,1,"Investment","2020-05-07","-14146.41","Active"
63,591,50,"Investment","2021-11-27","-24984.11","Active"
64,326,46,"Investment","2021-08-28","-23808.65","Active"
65,133,22,"Investment","2020-07-20","-39855.85","Active"
66,127,44,"Checking","2022-04-28","-10037.03","Active"
67,228,29,"Checking","2020-04-30","-30826.83","Active"
68,234,2,"Savings","2021-06-11","-47842.29","Active"
69,889,42,"Investment","2020-12-27","-42282.72","Active"
70,106,8,"Checking","2022-11-17","-11725.78","Active"
71,33,40,"Investment","2022-04-22","-48476.08","Active"
72,852,48,"Investment","2020-09-25","-24881.61","Active"
73,493,29,"Credit","2023-01-13","-41738.29","Active"
74,896,3,"Credit","2022-04-22","-25838.23","Active"
75,479,16,"Savings","2020-07-03","-46561.21","Active"
76,377,13,"Savings","2021-11-13","-19434.69","Active"
77,669,10,"Investment","2020-03-12","-30549.27","Active"
78,819,45,"Checking","2022-01-23","-58230.36","Active"
79,565,7,"Credit","2020-04-27","-20765.46","Active"
80,319,26,"Investment","2022-08-14","-43569.13","Active"
81,779,30,"Savings","2020-09-19","-45292.52","Active"
82,737,46,"Credit","2020-09-30","-47552.93","Active"
83,791,29,"Investment","2021-11-30","-36011.58","Active"
84,833,42,"Credit","2021-06-15","-30461.80","Active"
85,89,11,"Checking","2020-06-23","-35451.95","Active"
86,842,17,"Checking","2021-07-15","-5893.75","Active"
87,347,44,"Investment","2022-02-01","-33023.73","Active"
88,719,44,"Credit","2022-10-09","-28463.04","Active"
89,338,35,"Credit","2021-11-30","-41293.53","Active"
90,923,8,"Savings","2021-02-06","-48615.02","Active"
91,729,50,"Investment","2021-10-22","-9961.35","Active"
92,490,16,"Credit","2021-08-28","-30114.99","Active"
93,780,41,"Investment","2021-07-28","-26108.78","Active"
94,863,45,"Investment","2022-07-19","-36750.18","Active"
95,994,16,"Savings","2021-07-08","-42146.67","Active"
96,556,45,"Savings","2020-04-13","-36914.07","Active"
97,936,21,"Credit","2021-11-21","-11681.59","Active"
98,735,34,"Checking","2021-01-23","-31684.16","Active"
99,922,2,"Credit","2021-06-21","-52085.06","Active"
100,220,34,"Checking","2022-06-27","-9239.35","Active"
101,1000,42,"Investment","2021-10-09","-64171.37","Active"
102,292,9,"Savings","2022-01-15","-36653.57","Active"
103,585,13,"Investment","2022-02-22","-27642.51","Active"
104,88,42,"Checking","2022-10-29","-8147.63","Active"
105,12,27,"Checking","2020-07-15","-6031.33","Active"
106,151,30,"Investment","2023-01-01","-31314.41","Active"
107,526,27,"Checking","2020-10-19","-44203.52","Active"
108,767,25,"Credit","2022-04-05","-28073.97","Active"
109,689,12,"Investment","2022-03-17","-57111.48","Active"
110,323,33,"Savings","2021-06-09","-8397.23","Active"
111,789,44,"Checking","2022-11-23","-22195.61","Active"
112,649,38,"Checking","2022-04-25","-37557.53","Active"
113,983,4,"Investment","2021-10-22","-27139.71","Active"
114,562,13,"Investment","2020-09-04","-3812.84","Active"
115,609,23,"Savings","2020-10-09","-22497.21","Active"
116,162,14,"Checking","2022-01-02","-37596.08","Active"
117,173,13,"Checking","2021-08-30","-31507.92","Active"
118,484,28,"Investment","2022-04-29","-48628.44","Active"
119,675,13,"Investment","2020-11-27","-33429.63","Active"
